Magnetic parmutaion, U [eV], Mn2As (E per 6 atoms in [eV])
-1, 0, -249170.2536047848
0, 0, -249170.26233944268
1, 0, -249170.17069305337
2, 0, -249170.34564206598
3, 0, -249170.4492256918
4, 0, -249170.28157566313
5, 0, -249169.9876968111
6, 0, -249169.93393414398
7, 0, -249169.89325261285
8, 0, -249170.04038251872
9, 0, -249170.0193108208
10, 0, -249169.90807412256
-1, 2, -249163.81028576932
0, 2, -249164.2308838624
1, 2, -249164.06578381482
2, 2, -249164.17354908574
3, 2, -249164.1570215568
4, 2, -249164.0685314187
5, 2, -249163.9827603125
6, 2, -249163.9722332392
7, 2, -249163.98902825627
8, 2, -249164.07630170428
9, 2, -249164.05630472084
10, 2, -249163.9641491381
-1, 3, -249161.25701548316
0, 3, -249161.7852232659
1, 3, -249161.47890145335
2, 3, -249161.75226174734
3, 3, -249161.78389296823
4, 3, -249161.63401103657
5, 3, -249161.56949380873
6, 3, -249161.58882948692
7, 3, -249161.5688603952
8, 3, -249161.6342272312
9, 3, -249161.63221195436
10, 3, -249161.5438049471
-1, 4, -249159.0927203007
0, 4, -249159.618548854
1, 4, -249159.3449560385
2, 4, -249159.61101748457
3, 4, -249159.66266915872
4, 4, -249159.49856273568
5, 4, -249159.43282106254
6, 4, -249159.47410750322
7, 4, -249159.41939645048
8, 4, -249159.47416934112
9, 4, -249159.4949809661
10, 4, -249159.40840630705
